Year,Age,Female,Male,Total,OpenInterval,linking_key
1933,0,52615.77,68438.11,121053.88,FALSE,1933_0
1933,1,8917.13,10329.16,19246.29,FALSE,1933_1
1933,2,4336.92,5140.05,9476.97,FALSE,1933_2
1933,3,3161.59,3759.88,6921.47,FALSE,1933_3
1933,4,2493.84,2932.59,5426.43,FALSE,1933_4
1933,5,2139.87,2537.53,4677.4,FALSE,1933_5
1933,6,1939.7,2337.76,4277.46,FALSE,1933_6
1933,7,1760.47,2163.9,3924.37,FALSE,1933_7
1933,8,1602.2,2015.97,3618.17,FALSE,1933_8
1933,9,1464.88,1893.96,3358.84,FALSE,1933_9
1933,10,1357.91,1805.52,3163.43,FALSE,1933_10
1933,11,1318.9,1781.24,3100.14,FALSE,1933_11
1933,12,1357.26,1828.76,3186.02,FALSE,1933_12
1933,13,1472.99,1948.1,3421.09,FALSE,1933_13
1933,14,1666.09,2139.25,3805.34,FALSE,1933_14
1933,15,1923.01,2388.83,4311.84,FALSE,1933_15
1933,16,2189.59,2643.37,4832.96,FALSE,1933_16
1933,17,2452.27,2889.52,5341.79,FALSE,1933_17
1933,18,2711.06,3127.25,5838.31,FALSE,1933_18
1933,19,2965.97,3356.57,6322.54,FALSE,1933_19
1933,20,3209.73,3570.47,6780.2,FALSE,1933_20
1933,21,3413.35,3740.8,7154.15,FALSE,1933_21
1933,22,3569.58,3860.55,7430.13,FALSE,1933_22
1933,23,3678.44,3929.71,7608.15,FALSE,1933_23
1933,24,3739.9,3948.29,7688.19,FALSE,1933_24
1933,25,3761.01,3928.04,7689.05,FALSE,1933_25
1933,26,3769.97,3915.97,7685.94,FALSE,1933_26
1933,27,3773.81,3923.84,7697.65,FALSE,1933_27
1933,28,3772.51,3951.64,7724.15,FALSE,1933_28
1933,29,3766.1,3999.39,7765.49,FALSE,1933_29
1933,30,3761.75,4070.24,7831.99,FALSE,1933_30
1933,31,3788.15,4176.88,7965.03,FALSE,1933_31
1933,32,3852.49,4322.47,8174.96,FALSE,1933_32
1933,33,3954.75,4507.02,8461.77,FALSE,1933_33
1933,34,4094.95,4730.51,8825.46,FALSE,1933_34
1933,35,4263.27,4986.16,9249.43,FALSE,1933_35
1933,36,4420.51,5246.75,9667.26,FALSE,1933_36
1933,37,4556.85,5505.47,10062.32,FALSE,1933_37
1933,38,4672.29,5762.35,10434.64,FALSE,1933_38
1933,39,4766.83,6017.36,10784.19,FALSE,1933_39
1933,40,4847.79,6273.76,11121.55,FALSE,1933_40
1933,41,4944.4,6544.53,11488.93,FALSE,1933_41
1933,42,5064.01,6832.9,11896.91,FALSE,1933_42
1933,43,5206.58,7138.91,12345.49,FALSE,1933_43
1933,44,5372.12,7462.52,12834.64,FALSE,1933_44
1933,45,5558.88,7800.95,13359.83,FALSE,1933_45
1933,46,5759.77,8143.05,13902.82,FALSE,1933_46
1933,47,5973.03,8486.01,14459.04,FALSE,1933_47
1933,48,6198.66,8829.84,15028.5,FALSE,1933_48
1933,49,6436.67,9174.55,15611.22,FALSE,1933_49
1933,50,6679.42,9512.52,16191.94,FALSE,1933_50
1933,51,6896.45,9813.41,16709.86,FALSE,1933_51
1933,52,7080.15,10069.59,17149.74,FALSE,1933_52
1933,53,7230.49,10281.08,17511.57,FALSE,1933_53
1933,54,7347.5,10447.87,17795.37,FALSE,1933_54
1933,55,7449.52,10592.71,18042.23,FALSE,1933_55
1933,56,7609.92,10806.56,18416.48,FALSE,1933_56
1933,57,7847.06,11112.17,18959.23,FALSE,1933_57
1933,58,8160.95,11509.55,19670.5,FALSE,1933_58
1933,59,8551.57,11998.68,20550.25,FALSE,1933_59
1933,60,8993.57,12541.41,21534.98,FALSE,1933_60
1933,61,9385.49,12985.15,22370.64,FALSE,1933_61
1933,62,9701.97,13291.74,22993.71,FALSE,1933_62
1933,63,9943.02,13461.18,23404.2,FALSE,1933_63
1933,64,10108.63,13493.46,23602.09,FALSE,1933_64
1933,65,10223.43,13430.41,23653.84,FALSE,1933_65
1933,66,10385.89,13439.23,23825.12,FALSE,1933_66
1933,67,10620.66,13561.72,24182.38,FALSE,1933_67
1933,68,10927.71,13797.91,24725.62,FALSE,1933_68
1933,69,11307.04,14147.76,25454.8,FALSE,1933_69
1933,70,11722.6,14555.96,26278.56,FALSE,1933_70
1933,71,12030.03,14801.26,26831.29,FALSE,1933_71
1933,72,12193.27,14828.31,27021.58,FALSE,1933_72
1933,73,12212.33,14637.12,26849.45,FALSE,1933_73
1933,74,12087.19,14227.68,26314.87,FALSE,1933_74
1933,75,11833.28,13632.14,25465.42,FALSE,1933_75
1933,76,11512.24,12979.02,24491.26,FALSE,1933_76
1933,77,11139.5,12300.46,23439.96,FALSE,1933_77
1933,78,10715.05,11596.44,22311.49,FALSE,1933_78
1933,79,10238.9,10867,21105.9,FALSE,1933_79
1933,80,9710.72,10111.03,19821.75,FALSE,1933_80
1933,81,9129.2,9324.3,18453.5,FALSE,1933_81
1933,82,8494.04,8505.7,16999.74,FALSE,1933_82
1933,83,7805.22,7655.27,15460.49,FALSE,1933_83
1933,84,7062.75,6773,13835.75,FALSE,1933_84
1933,85,6281.62,5874.18,12155.8,FALSE,1933_85
1933,86,5521.77,5020.06,10541.83,FALSE,1933_86
1933,87,4798.22,4225.92,9024.14,FALSE,1933_87
1933,88,4110.92,3491.77,7602.69,FALSE,1933_88
1933,89,3459.91,2817.62,6277.53,FALSE,1933_89
1933,90,2850.54,2208.48,5059.02,FALSE,1933_90
1933,91,2304.18,1684.4,3988.58,FALSE,1933_91
1933,92,1826.18,1250.41,3076.59,FALSE,1933_92
1933,93,1416.56,906.52,2323.08,FALSE,1933_93
1933,94,1075.32,652.69,1728.01,FALSE,1933_94
1933,95,799.59,479.17,1278.76,FALSE,1933_95
1933,96,578.03,346.72,924.75,FALSE,1933_96
1933,97,407.8,245.55,653.35,FALSE,1933_97
1933,98,288.89,175.66,464.55,FALSE,1933_98
1933,99,221.3,137.05,358.35,FALSE,1933_99
1933,100,222.96,143.2,366.16,FALSE,1933_100
1933,101,158.98,102.06,261.04,FALSE,1933_101
1933,102,111.64,71.89,183.53,FALSE,1933_102
1933,103,77.19,50.04,127.23,FALSE,1933_103
1933,104,52.54,34.42,86.96,FALSE,1933_104
1933,105,35.19,23.39,58.58,FALSE,1933_105
1933,106,23.2,15.7,38.9,FALSE,1933_106
1933,107,15.05,10.41,25.46,FALSE,1933_107
1933,108,9.61,6.82,16.43,FALSE,1933_108
1933,109,6.03,4.41,10.44,FALSE,1933_109
1933,110,8.42,6.39,14.81,TRUE,1933_110
1934,0,56294.52,74046.9,130341.42,FALSE,1934_0
1934,1,9479.02,10992.38,20471.4,FALSE,1934_1
1934,2,4735.01,5485.18,10220.19,FALSE,1934_2
1934,3,3226.42,3851.04,7077.46,FALSE,1934_3
1934,4,2459.6,2997.92,5457.52,FALSE,1934_4
1934,5,2110.53,2595.91,4706.44,FALSE,1934_5
1934,6,1925.23,2384.41,4309.64,FALSE,1934_6
1934,7,1761.3,2201.62,3962.92,FALSE,1934_7
1934,8,1618.76,2047.52,3666.28,FALSE,1934_8
1934,9,1497.61,1922.13,3419.74,FALSE,1934_9
1934,10,1405.85,1832.84,3238.69,FALSE,1934_10
1934,11,1375.59,1809.31,3184.9,FALSE,1934_11
1934,12,1414.85,1858.95,3273.8,FALSE,1934_12
1934,13,1523.63,1981.77,3505.4,FALSE,1934_13
1934,14,1701.92,2177.76,3879.68,FALSE,1934_14
1934,15,1938.09,2433.84,4371.93,FALSE,1934_15
1934,16,2185.62,2697.67,4883.29,FALSE,1934_16
