.id,place,zip,place_of_total,total_number,retired_number,disabled_number,widow_number,spouse_number,children_number,total_benefits,retired_benefits,widow_benefits,age65_benefits,zip_ben
Alabama,All areas c,,,48434281,30460839,6518989,4749379,2680259,4024815,44351668,30521816,4470918,34019044,
Alabama,,,"Total, Alabama",903569,492491,169639,97546,46206,97687,777620,473244,84212,561665,
Alabama,Albertville,,,31285,16935,6055,3565,1775,2955,25820,15419,2886,19495,
Alabama,,35013,,60,25,15,5,5,10,52,27,6,30,1.08
Alabama,,35016,,3570,2035,620,415,190,310,2859,1761,322,2315,0.865356265356265
Alabama,,35031,,1650,900,330,170,105,145,1339,806,131,1010,0.895555555555556
Alabama,,35049,,705,385,125,85,45,65,619,367,80,450,0.953246753246753
Alabama,,35079,,1445,700,285,185,95,180,1276,691,165,850,0.987142857142857
Alabama,,35097,,400,180,95,35,25,65,350,177,33,210,0.983333333333333
Alabama,,35121,,3120,1805,530,375,170,240,2637,1672,308,2065,0.926315789473684
Alabama,,35133,,745,390,155,90,45,65,695,396,83,470,1.01538461538462
Alabama,,35175,,1025,560,175,120,60,110,857,524,93,630,0.935714285714286
Alabama,,35747,,1140,600,240,125,65,110,950,542,101,675,0.903333333333333
Alabama,,35950,,3830,2060,725,465,195,385,3119,1883,375,2395,0.914077669902913
Alabama,,35951,,2120,1100,465,225,115,215,1712,980,178,1245,0.890909090909091
Alabama,,35956,,1815,955,395,170,120,175,1504,875,139,1085,0.916230366492147
Alabama,,35957,,3240,1700,675,395,190,280,2637,1526,318,2010,0.897647058823529
Alabama,,35962,,1315,650,300,150,80,135,991,535,109,790,0.823076923076923
Alabama,,35964,,90,35,30,5,5,15,76,32,4,35,0.914285714285714
Alabama,,35974,,480,240,110,55,20,55,363,205,44,280,0.854166666666667
Alabama,,35976,,3705,2190,610,405,200,300,3136,2040,332,2465,0.931506849315068
Alabama,,35980,,830,425,175,90,45,95,649,378,65,485,0.889411764705882
Alabama,Alexander City,,,25885,14370,5360,2300,950,2905,22093,13691,1900,15390,
Alabama,,35010,,4610,2685,965,370,130,460,4061,2614,318,2865,0.973556797020484
Alabama,,35011,,600,260,175,55,10,100,492,261,44,300,1.00384615384615
Alabama,,35072,,1280,600,370,110,35,165,1028,538,84,650,0.896666666666667
Alabama,,35089,,550,240,165,40,10,95,418,216,28,260,0.9
Alabama,,35136,,525,285,120,50,20,50,445,264,41,315,0.926315789473684
Alabama,,35183,,195,105,45,15,15,15,180,104,11,115,0.990476190476191
Alabama,,36020,,210,105,50,25,5,25,172,96,23,115,0.914285714285714
Alabama,,36022,,1485,855,255,155,85,135,1309,828,131,940,0.968421052631579
Alabama,,36024,,1320,755,250,125,50,140,1143,722,110,805,0.956291390728477
Alabama,,36025,,685,345,130,80,30,100,544,314,62,390,0.910144927536232
Alabama,,36026,,305,190,55,15,15,30,272,191,16,190,1.00526315789474
Alabama,,36045,,35,15,10,5,0,5,24,11,1,10,0.733333333333333
Alabama,,36054,,1835,980,350,180,90,235,1569,943,159,1070,0.962244897959184
Alabama,,36078,,2745,1575,530,245,80,315,2293,1453,199,1690,0.922539682539682
Alabama,,36080,,540,330,95,40,25,50,470,321,31,330,0.972727272727273
Alabama,,36092,,3425,1810,675,365,150,425,2845,1686,298,2020,0.931491712707182
Alabama,,36093,,1290,865,160,95,65,105,1220,888,87,860,1.02658959537572
Alabama,,36256,,380,230,90,25,5,30,334,215,21,230,0.934782608695652
Alabama,,36850,,835,360,255,75,25,120,626,287,51,410,0.797222222222222
Alabama,,36853,,2230,1335,415,185,75,220,1936,1296,150,1380,0.970786516853933
Alabama,,36861,,805,445,200,45,30,85,705,436,38,445,0.979775280898876
Alabama,Andalusia,,,21180,11690,4195,2120,965,2210,17242,10494,1700,13035,
Alabama,,36038,,65,40,10,5,5,5,57,39,3,40,0.975
Alabama,,36401,,2105,1065,470,190,100,280,1637,939,138,1185,0.88169014084507
Alabama,,36420,,2895,1775,495,300,95,230,2376,1563,247,1960,0.88056338028169
Alabama,,36421,,1770,1085,315,160,65,145,1474,964,135,1175,0.888479262672811
Alabama,,36426,,3315,1805,645,345,190,330,2826,1720,295,2050,0.952908587257618
Alabama,,36427,,560,285,105,65,20,85,464,276,57,325,0.968421052631579
Alabama,,36432,,710,300,205,70,35,100,562,268,53,360,0.893333333333333
Alabama,,36441,,825,430,165,90,60,80,702,412,73,505,0.958139534883721
Alabama,,36442,,915,530,165,95,45,80,673,432,67,585,0.815094339622642
Alabama,,36454,,25,20,0,5,0,0,24,20,2,15,1
Alabama,,36455,,150,75,35,15,5,20,105,57,10,85,0.76
Alabama,,36467,,2695,1610,525,215,110,235,2166,1396,169,1730,0.867080745341615
Alabama,,36473,,40,25,10,5,0,0,33,20,3,25,0.8
Alabama,,36474,,770,450,140,75,35,70,615,389,58,495,0.864444444444444
Alabama,,36475,,480,210,135,40,35,60,372,187,32,255,0.890476190476191
Alabama,,36476,,115,55,25,10,5,20,91,47,11,60,0.854545454545455
Alabama,,36483,,140,80,35,10,5,10,106,63,10,85,0.7875
